province,religionType,count
上海市,佛教,108
上海市,道教,32
云南省,佛教,2609
云南省,道教,160
内蒙古自治区,佛教,301
内蒙古自治区,道教,7
北京市,佛教,26
北京市,道教,13
吉林省,佛教,204
吉林省,道教,24
四川省,佛教,2195
四川省,道教,225
天津市,佛教,21
宁夏回族自治区,佛教,411
宁夏回族自治区,道教,151
安徽省,佛教,1335
安徽省,道教,60
山东省,佛教,214
山东省,道教,87
山西,佛教,1
山西省,佛教,598
山西省,道教,42
广东,佛教,1
广东省,佛教,1553
广东省,道教,218
广西壮族自治区,佛教,221
广西壮族自治区,道教,8
新疆维吾尔自治区,佛教,57
新疆维吾尔自治区,道教,1
江苏省,佛教,1148
江苏省,道教,167
江西省,佛教,3260
江西省,道教,1010
河北省,佛教,756
河北省,道教,212
河南省,佛教,715
河南省,道教,474
浙江省,佛教,4057
浙江省,道教,1659
海南省,佛教,20
海南省,道教,1
湖北省,佛教,2012
湖北省,道教,652
湖南省,佛教,3231
湖南省,道教,955
甘肃省,佛教,756
甘肃省,道教,615
福建省,佛教,3396
福建省,道教,918
西藏,佛教,1786
贵州省,佛教,465
贵州省,道教,28
辽宁省,佛教,758
辽宁省,道教,113
重庆市,佛教,277
重庆市,道教,32
陕西省,佛教,708
陕西省,道教,461
青海省,佛教,801
青海省,道教,15
黑龙江省,佛教,88
黑龙江省,道教,9
